time,magnitude,latitude,longitude,depth_km
2003-06-05T06:06:39.710Z,5.0,28.225,130.166,33.0
2003-06-08T20:14:52.900Z,5.0,44.259,147.019,85.7
2003-06-09T01:52:51.010Z,5.8,24.413,122.02,48.1
2003-06-19T10:44:24.350Z,5.3,26.522,128.558,31.5
2003-06-20T00:29:55.930Z,5.1,40.906,143.12,33.0
2003-06-24T08:33:26.320Z,5.2,43.024,149.565,33.0
2003-07-02T23:52:26.280Z,5.9,42.323,144.842,23.9
2003-07-05T23:30:25.440Z,5.1,32.63,135.977,33.0
2003-07-08T04:30:49.600Z,5.4,42.416,144.986,33.0
2003-07-09T17:15:14.640Z,5.5,29.736,129.968,67.4
2003-07-25T11:53:11.850Z,5.1,31.278,138.355,372.4
2003-07-25T15:13:07.720Z,5.5,38.432,141.003,10.0
2003-07-25T22:13:29.970Z,6.1,38.415,140.996,6.0
2003-07-26T01:22:22.900Z,5.1,38.509,141.055,10.0
2003-07-26T07:56:43.470Z,5.3,38.484,141.002,10.0
2003-07-27T19:08:03.630Z,5.1,38.543,141.025,10.0
2003-07-30T18:36:32.840Z,5.2,24.118,122.613,49.9
2003-08-01T13:46:47.880Z,5.1,32.774,141.116,77.5
2003-08-06T12:15:22.690Z,5.0,43.383,147.285,51.1
2003-08-18T09:59:40.120Z,5.0,35.63,139.968,79.9
2003-08-19T04:26:55.480Z,5.1,29.124,129.339,33.0
2003-08-30T10:06:39.970Z,5.5,41.864,142.552,51.9
2003-08-31T23:08:00.260Z,6.2,43.393,132.267,481.1
2003-09-04T07:20:48.120Z,5.0,31.426,140.862,61.8
2003-09-07T10:42:22.170Z,5.2,25.518,124.727,123.8
2003-09-16T21:49:30.420Z,5.0,44.023,148.179,33.0
2003-09-20T03:54:50.780Z,5.7,34.998,140.172,51.5
2003-09-24T20:56:54.670Z,5.4,35.316,135.194,372.2
2003-09-25T19:50:06.360Z,8.16,41.815,143.91,27.0
2003-09-25T20:02:00.440Z,5.5,42.343,143.764,33.0
2003-09-25T20:05:26.330Z,5.3,41.787,144.268,33.0
2003-09-25T20:10:02.810Z,5.6,41.836,143.687,33.0
2003-09-25T20:57:13.390Z,5.7,41.73,143.637,33.0
2003-09-25T21:02:52.630Z,5.5,41.807,144.231,33.0
2003-09-25T21:08:00.030Z,7.4,41.774,143.593,33.0
2003-09-25T22:20:20.540Z,5.4,42.008,143.766,33.0
2003-09-25T22:24:36.600Z,5.0,42.326,143.612,33.0
